,0,1,2,3,4,5,6,7,predict,true
71,-0.6725526,90.03086,48.714405,26.250662,17.441504,-9.266071,-7.510764,-0.19074889,14879.8564453125,14706.5380859375
72,-1.4813042,91.54935,48.311474,24.949492,15.817893,-10.147713,-7.878519,0.14293316,14867.8017578125,14865.701171875
73,-2.195528,92.19744,48.656727,25.678062,15.25798,-10.423196,-7.7346954,0.3785927,15027.5166015625,14898.9990234375
74,-2.9481993,93.3568,48.06519,25.738127,14.578918,-10.834534,-9.051773,0.34293285,15058.24609375,14608.2080078125
75,-4.2905498,94.225174,46.48222,21.168453,10.491987,-13.15151,-10.695443,0.05691285,14752.4951171875,14430.9013671875
76,-5.5782156,94.82387,44.30223,19.228138,7.366998,-15.1792145,-11.190728,0.56068665,14565.2353515625,14381.236328125
77,-6.5014277,95.21001,41.760612,19.275587,6.7827764,-15.577391,-11.213925,-0.12271289,14510.8505859375,14448.8818359375
78,-7.154702,95.475365,41.029964,19.27384,6.837818,-12.306329,-9.961149,-0.5480493,14581.529296875,14651.248046875
79,-7.122957,95.440216,41.568993,21.100986,9.813192,-7.2946086,-6.5640225,1.1631593,14799.3525390625,14764.611328125
80,-6.738411,95.0798,42.17634,23.781326,12.892021,-1.6514953,-1.7227502,0.8103193,14929.2392578125,14980.193359375
81,-6.2255597,95.77038,44.3665,26.291565,14.523718,2.6459968,2.611929,-0.3831058,15159.7958984375,15141.60546875
82,-5.5046043,96.11071,45.483395,29.090042,14.7679,1.4609041,3.5020647,0.019359648,15326.5341796875,15309.470703125
83,-4.958515,95.79254,47.604523,31.561016,15.762675,-1.3104377,-0.17901707,-0.48760667,15493.255859375,15351.4443359375
84,-4.791957,96.599014,48.86836,30.239147,16.301277,-4.2609878,-2.6010814,-0.41165495,15531.3857421875,15557.53515625
85,-4.827776,96.741295,50.362026,29.365025,17.476591,-5.889454,-3.2098336,-0.24216355,15737.310546875,15647.6806640625
86,-4.9730005,97.64103,50.931465,28.43511,16.792582,-7.6634936,-5.7376823,-0.19665286,15822.912109375,15842.2666015625
87,-5.343446,98.13611,52.055874,27.921791,16.979252,-7.820719,-6.857262,-0.3816043,16016.9560546875,16068.82421875
88,-5.5790663,98.990585,52.40452,29.171854,18.199417,-8.116373,-6.5848327,-0.7441593,16246.5654296875,16207.1298828125
89,-6.013489,99.99031,52.81577,28.712696,18.367855,-8.296574,-7.032191,0.093308635,16385.767578125,16319.5400390625
90,-6.4906044,101.13518,53.425667,28.633795,17.78692,-8.62267,-6.2357693,0.14129588,16499.314453125,16420.38671875
91,-6.950782,102.08485,53.382526,29.039003,17.355509,-9.339691,-6.726179,-0.40617797,16598.82421875,16629.05078125
92,-7.428425,102.86934,54.19986,30.33088,17.636,-8.907331,-7.0363665,-0.2152889,16810.498046875,16699.55078125
93,-7.964754,104.27291,54.404797,29.1412,17.222721,-9.395772,-8.251955,-0.18049487,16878.798828125,16911.068359375
94,-8.439392,104.589905,55.221607,29.828012,17.910944,-8.890093,-7.6453733,0.40764064,17094.05078125,17133.11328125
95,-8.733993,105.916306,55.500885,30.894255,19.323421,-8.676723,-7.2376533,-1.0248251,17319.07421875,17144.28125
96,-9.281895,106.985794,55.66266,29.10317,18.015778,-9.041177,-7.6845646,-0.5203953,17327.5234375,17462.703125
97,-9.535793,107.72776,56.934128,31.556541,19.05472,-8.672284,-6.1508636,0.33657345,17653.955078125,17743.2265625
98,-9.654911,108.85407,57.381557,33.66572,20.78414,-8.048641,-6.1037884,-0.49687463,17939.607421875,17852.5390625
99,-10.100412,109.91145,58.7889,32.10242,20.150316,-8.379907,-7.052908,0.5583086,18048.517578125,17991.34765625
100,-10.473417,111.23082,59.46904,32.158768,20.115875,-9.336584,-6.376771,0.15299205,18188.287109375,18193.70703125
101,-10.872147,111.80491,59.531906,33.537735,20.540388,-10.076997,-6.8655086,0.5674922,18391.875,18306.9609375
102,-11.4070015,113.64884,60.201275,32.60365,19.176958,-10.490561,-8.563482,1.0893773,18503.220703125,18332.078125
103,-12.047955,114.63513,60.28193,30.92902,17.46675,-11.911002,-9.520599,-1.1553531,18520.75390625,18425.306640625
104,-12.652487,114.95745,59.69014,31.60532,17.832735,-13.081282,-10.676194,-0.5593686,18612.421875,18611.6171875
105,-13.214645,116.61838,59.841156,31.686855,18.772655,-11.453684,-10.398483,-0.8881023,18802.583984375,18775.458984375
106,-13.607838,117.581085,60.29885,31.531742,18.655056,-10.095803,-9.018955,0.6167368,18971.419921875,18968.041015625
107,-13.839815,118.06526,60.797783,32.794353,19.972313,-9.96627,-8.8030815,-0.11595476,19166.9453125,19148.193359375
108,-14.09687,119.14986,61.29487,34.080555,21.24183,-8.663162,-7.284356,0.13809565,19354.052734375,19304.505859375
109,-14.333193,120.35174,62.086334,34.31586,21.110249,-8.092444,-6.0046787,-0.1237382,19513.81640625,19561.896484375
110,-14.431358,121.22807,63.286865,35.944145,21.540628,-8.639115,-5.5955153,0.0033033397,19775.234375,19894.75
111,-14.484659,122.049225,64.63195,38.188828,23.009682,-8.300177,-5.852232,0.22221588,20114.216796875,20155.486328125
112,-14.651955,123.2668,66.29844,38.26561,24.047081,-8.258846,-6.278645,0.08864396,20378.26171875,20470.197265625
113,-14.839005,124.48598,68.06868,38.75052,25.162842,-8.596623,-5.7776127,-0.27400526,20697.177734375,20687.27734375
114,-15.112858,125.90791,68.85392,38.939423,25.314608,-10.224387,-6.466449,-0.021867465,20914.466796875,20819.26953125
115,-15.58617,127.50909,69.649086,38.31617,23.879707,-12.164353,-8.072607,-0.16319087,21042.63671875,21013.0859375
116,-16.079111,129.02907,70.23676,38.466156,23.225496,-13.2859535,-9.209617,0.03924916,21235.5078125,21272.447265625
117,-16.569637,130.2684,70.76637,39.023018,23.868683,-13.590415,-10.803242,0.5736669,21495.984375,21531.83984375
