unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10,exogenous11,exogenous12,exogenous13,exogenous14,exogenous15,exogenous16,exogenous17,exogenous18,exogenous19,exogenous20
GDP,1994/4/1,329584,6.04,42471.0,43790.0,16529,11.41,8.32,13967.0,9.86,9.37,8389.0,9.64,33369.0,7.41,36091,23367.0,11.29,11299.0,2668.0,-2722.0,8.276666667
GDP,1994/7/1,332911,3.04,42097.0,44604.0,16673,10.86,8.64,14976.0,7.82,10.47,10660.0,11.25,34270.0,9.18,36919,24687.0,11.53,11368.0,3608.0,-2649.0,8.693333333
GDP,1994/10/1,334363,5.81,44028.0,46461.0,17077,12.1,11.54,15693.0,11.14,12.78,10068.0,10.16,35648.0,3.48,38788,24433.0,13.49,11601.0,4092.0,-3140.0,8.666666667000001
GDP,1995/1/1,336090,3.15,43524.0,47930.0,16583,4.12,10.62,17065.0,1.84,11.02,14093.0,14.75,37371.0,9.44,39239,26171.0,16.3,11322.0,5743.0,-1868.0,8.66
GDP,1995/4/1,336789,5.94,44993.0,47666.0,17303,7.82,13.8,15940.0,4.68,8.85,10964.0,14.13,37448.0,8.64,41073,25385.0,12.22,12183.0,3757.0,-3625.0,8.243333332999999
GDP,1995/7/1,340542,9.52,46106.0,49654.0,17507,8.43,16.31,16014.0,5.0,11.32,12071.0,6.93,39031.0,4.36,42941,25763.0,13.89,12326.0,3688.0,-3910.0,8.11
GDP,1995/10/1,341602,6.14,46730.0,50412.0,17348,5.21,12.1,17077.0,1.59,8.5,12593.0,8.82,40043.0,6.58,43482,26041.0,12.33,12205.0,4872.0,-3439.0,7.79
GDP,1996/1/1,343859,11.86,48684.0,51291.0,17887,14.61,15.34,17282.0,7.86,7.01,11688.0,1.27,41169.0,2.48,45259,26821.0,10.16,12976.0,4306.0,-4090.0,7.753333333
GDP,1996/4/1,344979,9.07,49074.0,52124.0,18354,9.14,11.21,18202.0,6.07,9.35,12131.0,14.19,41746.0,7.24,45678,27224.0,11.48,13296.0,4906.0,-3932.0,8.066666667
GDP,1996/7/1,348214,8.81,50169.0,53203.0,18508,7.8,6.11,18097.0,5.72,7.15,11814.0,13.01,42258.0,4.91,45565,27029.0,8.27,13287.0,4810.0,-3307.0,7.853333332999999
GDP,1996/10/1,352958,8.28,50597.0,54023.0,19804,13.17,4.94,19148.0,14.16,7.16,12345.0,12.13,42366.0,8.96,45631,28375.0,5.8,13813.0,5335.0,-3265.0,7.57
GDP,1997/1/1,358611,7.27,52224.0,57943.0,20272,1.65,0.88,18505.0,13.33,12.97,15089.0,11.22,42789.0,8.73,45645,29163.0,4.15,13254.0,5251.0,-2856.0,7.403333333
GDP,1997/4/1,362573,12.13,55029.0,58762.0,20781,1.14,3.49,18671.0,13.22,12.74,12950.0,6.49,42552.0,8.8,47263,29619.0,2.14,13511.0,5160.0,-4711.0,7.316666667000001
GDP,1997/7/1,365942,6.64,53500.0,57749.0,22307,5.16,-0.01,19728.0,20.53,8.54,12702.0,13.18,41511.0,11.45,45552,30123.0,-1.57,14044.0,5684.0,-4041.0,6.99
GDP,1997/10/1,371341,10.48,55900.0,59717.0,21678,-0.06,3.17,19440.0,9.46,10.54,13638.0,5.35,42675.0,9.64,47067,31111.0,0.93,13874.0,5566.0,-4392.0,6.5
GDP,1998/1/1,374037,10.21,57555.0,59626.0,22451,8.15,3.73,19433.0,10.75,2.9,11625.0,5.01,42068.0,8.47,47348,31633.0,-1.69,14334.0,5099.0,-5280.0,6.046666667
GDP,1998/4/1,376421,7.65,59237.0,59037.0,22999,7.93,1.23,19747.0,10.67,0.47,9461.0,5.76,41330.0,9.35,47842,32388.0,-2.87,14583.0,5164.0,-6512.0,5.816666667000001
GDP,1998/7/1,377650,11.99,59917.0,58134.0,23331,5.08,3.87,20276.0,4.59,0.67,8187.0,2.78,40352.0,9.92,47314,33112.0,-2.79,14758.0,5518.0,-6962.0,5.516666667000001
GDP,1998/10/1,380155,7.71,60211.0,58203.0,23168,8.83,0.58,20918.0,6.87,-2.54,7646.0,7.6,40026.0,4.94,47342,32648.0,-6.21,15099.0,5819.0,-7316.0,4.82
GDP,1999/1/1,382789,6.7,61414.0,57639.0,24712,11.44,1.65,20863.0,10.07,-3.33,5055.0,7.36,39480.0,5.16,48129,33264.0,-6.15,15974.0,4889.0,-8649.0,4.46
GDP,1999/4/1,384605,4.43,61864.0,58608.0,25338,10.83,1.26,21245.0,10.17,-0.73,5165.0,7.59,40388.0,3.04,48445,33373.0,-2.28,16163.0,5082.0,-8057.0,4.89
GDP,1999/7/1,390758,8.55,65037.0,62009.0,24981,6.83,8.32,21876.0,7.07,6.67,6531.0,7.89,43047.0,3.61,51251,34307.0,6.68,15766.0,6110.0,-8204.0,5.496666667
GDP,1999/10/1,396357,9.09,65682.0,62449.0,26175,9.32,9.66,23223.0,12.98,7.3,6400.0,11.02,43428.0,8.69,51913,35485.0,8.5,16506.0,6717.0,-8485.0,5.526666667000001
GDP,2000/1/1,401242,8.79,66815.0,63932.0,25733,2.15,10.86,22881.0,4.13,10.92,7627.0,9.67,44652.0,8.36,53354,36045.0,13.1,16317.0,6564.0,-8702.0,5.606666667000001
GDP,2000/4/1,404196,10.36,68274.0,65424.0,26900,6.43,14.34,24050.0,6.16,11.63,8043.0,13.2,46210.0,12.47,55393,37535.0,14.42,17203.0,6847.0,-9183.0,5.31
GDP,2000/7/1,406795,8.23,70389.0,65494.0,26962,11.65,13.03,24567.0,7.93,5.62,6277.0,12.3,46677.0,10.77,57930,38001.0,8.43,17602.0,6965.0,-11253.0,5.32
GDP,2000/10/1,409411,10.71,72719.0,69004.0,27521,8.47,15.51,23803.0,5.14,10.5,5525.0,2.5,49259.0,2.83,59964,36489.0,13.43,17904.0,5899.0,-10705.0,5.076666667
GDP,2001/1/1,413054,12.34,75059.0,70761.0,27266,11.28,15.09,26578.0,5.96,10.68,7490.0,16.16,50191.0,8.29,61407,39032.0,12.4,18157.0,8421.0,-11216.0,4.79
GDP,2001/4/1,414878,10.18,75225.0,67781.0,27797,7.81,10.47,25518.0,3.33,3.6,2730.0,6.1,48212.0,1.01,61193,37914.0,4.33,18547.0,6971.0,-12981.0,5.09
GDP,2001/7/1,417085,5.54,74288.0,66141.0,27968,5.2,1.68,25179.0,3.73,0.99,1105.0,2.49,46410.0,-2.37,58904,37099.0,-0.57,18518.0,6661.0,-12494.0,5.06
GDP,2001/10/1,418445,2.59,74606.0,66543.0,27162,0.75,-3.72,24387.0,-1.3,-3.57,1825.0,2.45,45835.0,1.6,57735,37073.0,-6.95,18038.0,6349.0,-11900.0,4.783333333
GDP,2002/1/1,419534,2.93,77258.0,68408.0,28148,3.89,-2.89,24710.0,3.23,-3.33,-93.0,-7.03,47273.0,-5.5,59630,36886.0,-5.81,18863.0,5847.0,-12357.0,5.023333333
GDP,2002/4/1,421587,7.39,80785.0,71187.0,28536,4.72,1.73,25194.0,2.66,5.03,-1478.0,-1.27,49127.0,-3.23,62251,36689.0,1.9,19422.0,5772.0,-13124.0,5.2
GDP,2002/7/1,424425,6.88,79399.0,67924.0,29425,6.5,2.55,27163.0,5.21,2.7,-1396.0,7.88,46752.0,6.41,60406,39476.0,0.74,19721.0,7442.0,-13654.0,4.75
GDP,2002/10/1,427725,5.78,78918.0,64982.0,29941,11.47,3.39,26776.0,10.23,-2.35,-5301.0,9.8,44252.0,3.75,59695,38464.0,-3.45,20107.0,6669.0,-15443.0,4.606666667
GDP,2003/1/1,430832,3.97,80323.0,68259.0,29959,9.2,2.75,28016.0,6.43,-0.22,-1679.0,13.38,48159.0,9.17,61270,40268.0,1.87,20599.0,7417.0,-13111.0,4.306666667
GDP,2003/4/1,434837,-1.5,79572.0,66098.0,30085,7.53,-3.19,28197.0,5.43,-7.15,-3122.0,11.92,46459.0,9.92,60267,40327.0,-5.43,20884.0,7313.0,-13808.0,4.266666667
GDP,2003/7/1,438710,0.47,79769.0,65656.0,30781,9.54,0.52,29047.0,4.61,-3.34,-3687.0,6.94,46057.0,3.99,60723,41050.0,-1.49,21603.0,7444.0,-14666.0,4.573333333
GDP,2003/10/1,442172,5.2,83025.0,67781.0,30404,5.28,5.31,28816.0,1.55,4.31,-4441.0,7.62,47202.0,7.1,62862,41194.0,6.67,21169.0,7647.0,-15660.0,4.96
GDP,2004/1/1,443853,3.65,83254.0,66518.0,31357,4.89,1.03,30070.0,4.67,-2.55,-4808.0,7.33,45603.0,7.32,61899,43217.0,-5.31,21607.0,8463.0,-16296.0,4.77
GDP,2004/4/1,446443,6.49,84739.0,67252.0,32284,6.75,5.76,31083.0,7.31,1.75,-5268.0,10.24,46718.0,10.1,63741,44400.0,0.56,22294.0,8789.0,-17023.0,5.09
GDP,2004/7/1,448171,8.71,86715.0,68534.0,33076,5.57,7.65,31315.0,7.46,4.38,-6590.0,7.81,48390.0,8.48,65366,44530.0,5.07,22806.0,8509.0,-16976.0,5.01
GDP,2004/10/1,450464,6.99,88832.0,69840.0,33621,12.01,7.13,33836.0,10.58,3.04,-5281.0,17.42,50338.0,14.57,67344,47195.0,6.64,23712.0,10124.0,-17006.0,4.663333333
GDP,2005/1/1,453784,5.56,87879.0,67460.0,33842,10.32,7.87,33110.0,7.92,1.42,-8068.0,10.11,48858.0,6.53,66773,46040.0,7.14,23837.0,9273.0,-17915.0,4.643333333
GDP,2005/4/1,457557,8.27,91744.0,72746.0,34480,8.44,9.58,34930.0,6.8,8.17,-5437.0,12.38,52182.0,7.96,69846,47936.0,11.7,24176.0,10754.0,-17664.0,4.44
GDP,2005/7/1,461135,8.79,94337.0,74801.0,33371,5.35,12.45,35596.0,0.89,9.14,-4704.0,13.67,54474.0,8.3,73504,48228.0,12.57,24026.0,11570.0,-19030.0,4.276666667
GDP,2005/10/1,465451,9.74,97484.0,77778.0,33964,4.23,12.98,36262.0,1.02,11.37,-3871.0,7.17,56980.0,5.64,76085,49859.0,13.19,24716.0,11546.0,-19105.0,4.2933333330000005
GDP,2006/1/1,467840,25.15,109979.0,90074.0,34860,9.51,29.55,37489.0,3.01,33.52,-4181.0,13.23,66274.0,10.32,86502,50792.0,35.65,26104.0,11385.0,-20228.0,4.183333333
GDP,2006/4/1,469655,24.12,113869.0,94790.0,34929,7.9,27.76,37635.0,1.3,30.3,-3414.0,7.74,70085.0,6.18,89237,50898.0,34.31,26086.0,11549.0,-19152.0,4.61
GDP,2006/7/1,470918,4.34,98434.0,74606.0,34848,6.14,5.14,40922.0,4.43,-0.26,-3669.0,14.96,55605.0,14.14,77280,55049.0,2.08,25500.0,15422.0,-21675.0,4.62
GDP,2006/10/1,473372,0.04,97523.0,74487.0,35361,6.63,-0.84,41570.0,4.11,-4.23,-4418.0,14.64,54454.0,8.29,75443,53990.0,-4.43,26354.0,15216.0,-20989.0,4.596666667
GDP,2007/1/1,477823,-8.82,100276.0,74003.0,35525,0.13,-11.34,40112.0,1.91,-17.84,-7657.0,7.0,53275.0,6.71,76694,54200.0,-19.61,26137.0,13975.0,-23419.0,4.863333333
GDP,2007/4/1,481314,-12.63,99484.0,76731.0,35846,2.62,-13.86,42122.0,2.63,-19.05,-2131.0,11.92,55632.0,10.92,76866,56455.0,-20.62,26769.0,15353.0,-21234.0,5.206666667
GDP,2007/7/1,484544,5.62,103963.0,75825.0,35682,5.15,4.41,44020.0,2.39,1.63,-5105.0,7.57,55606.0,6.62,80690,58695.0,0.0,26813.0,17207.0,-25084.0,5.183333333
GDP,2007/10/1,487413,5.09,102483.0,76720.0,36728,5.54,8.68,43997.0,3.87,3.0,-579.0,5.84,58164.0,14.45,81995,61792.0,6.81,27814.0,16183.0,-23831.0,4.7933333330000005
GDP,2008/1/1,489783,1.08,101359.0,76494.0,37163,12.46,10.29,43399.0,4.61,3.37,-875.0,8.19,60528.0,12.56,84588,61008.0,13.61,29393.0,14006.0,-24060.0,4.52
GDP,2008/4/1,487386,3.63,103094.0,78352.0,34594,6.21,17.44,44702.0,-3.49,2.11,558.0,6.13,65198.0,6.08,90271,59887.0,17.2,28431.0,16271.0,-25073.0,4.906666667
GDP,2008/7/1,479872,-3.14,100695.0,77695.0,34762,8.83,11.83,46227.0,-2.58,2.47,2959.0,5.01,66350.0,3.49,90232,60744.0,19.32,29180.0,17047.0,-23882.0,4.783333333
GDP,2008/10/1,469694,-8.29,93990.0,72315.0,34190,5.6,0.68,49266.0,-6.91,-5.74,4739.0,11.98,59829.0,-1.9,82550,60619.0,2.86,29372.0,19894.0,-22721.0,4.153333333
GDP,2009/1/1,460105,-11.68,89518.0,67238.0,33580,2.1,-7.15,47275.0,-9.64,-12.1,1307.0,8.93,55280.0,-6.24,78536,57202.0,-8.67,30011.0,17264.0,-23256.0,3.536666667
GDP,2009/4/1,458599,-13.29,89389.0,66109.0,33538,3.18,-15.3,46867.0,-3.05,-15.63,495.0,4.84,54323.0,-4.09,76461,57438.0,-16.68,29335.0,17532.0,-22138.0,3.583333333
GDP,2009/7/1,458875,-7.85,92792.0,67560.0,33245,0.29,-12.78,45491.0,-4.36,-13.04,-3625.0,-1.59,56436.0,-9.65,78701,54884.0,-14.94,29264.0,16227.0,-22265.0,3.73
GDP,2009/10/1,460238,0.36,94327.0,70637.0,33634,0.31,-0.48,47093.0,-1.63,-2.32,-97.0,-4.41,60489.0,-5.51,82154,57277.0,1.1,29464.0,17629.0,-21665.0,3.74
GDP,2010/1/1,464543,7.4,96143.0,71475.0,34164,0.98,8.28,47168.0,1.74,6.3,-2124.0,-0.23,62431.0,-0.81,85042,56739.0,12.94,30306.0,16862.0,-22611.0,4.05
GDP,2010/4/1,469606,11.34,99527.0,75285.0,34679,5.02,17.52,48775.0,3.4,13.88,-1172.0,4.07,66292.0,0.54,89855,57748.0,22.03,30809.0,17966.0,-23563.0,3.826666667
GDP,2010/7/1,472199,10.95,102951.0,75789.0,35112,6.53,17.96,49300.0,5.62,12.18,-4208.0,8.37,66266.0,5.77,92836,58049.0,17.42,31175.0,18125.0,-26570.0,3.29
GDP,2010/10/1,472612,10.35,104090.0,77348.0,34868,6.61,17.17,50820.0,3.67,9.5,-1762.0,7.91,69438.0,4.47,96261,59836.0,14.79,31413.0,19407.0,-26823.0,3.33
GDP,2011/1/1,473819,6.2,102102.0,82737.0,33931,0.96,13.89,51266.0,-0.68,15.76,6416.0,8.69,75906.0,5.08,96854,59619.0,21.58,30598.0,20668.0,-20948.0,3.783333333
GDP,2011/4/1,474365,5.68,105184.0,78222.0,34789,3.54,14.33,54261.0,0.32,3.9,598.0,11.25,74140.0,8.08,102729,62416.0,11.84,31899.0,22362.0,-28589.0,3.56
GDP,2011/7/1,475813,1.3,104294.0,77326.0,35059,3.96,11.41,56432.0,-0.15,2.03,2719.0,14.47,73730.0,11.77,103429,64881.0,11.26,32409.0,24023.0,-29699.0,2.863333333
GDP,2011/10/1,476479,0.03,104125.0,81206.0,36218,5.96,6.4,54502.0,3.87,4.99,3692.0,7.25,77210.0,4.97,102420,62807.0,11.19,33284.0,21218.0,-25210.0,2.333333333
GDP,2012/1/1,480632,2.68,104837.0,82055.0,36175,7.17,6.45,56975.0,6.61,-0.82,7095.0,11.14,77646.0,10.93,103101,66134.0,2.29,32793.0,24182.0,-25455.0,2.216666667
GDP,2012/4/1,479979,1.64,106904.0,77428.0,36568,3.68,0.53,55511.0,5.11,-1.02,-2328.0,2.3,72375.0,2.31,103272,63859.0,-2.38,33072.0,22439.0,-30897.0,1.973333333
GDP,2012/7/1,484579,2.31,106703.0,79514.0,36124,0.81,-0.74,56070.0,3.04,2.83,1309.0,-0.64,74166.0,-0.2,102666,64749.0,0.59,32671.0,23399.0,-28500.0,1.68
GDP,2012/10/1,484039,0.3,104434.0,77244.0,34952,-4.25,-1.89,55048.0,-3.5,-4.88,996.0,1.0,72598.0,0.81,100489,63316.0,-5.97,31871.0,23177.0,-27891.0,1.7966666669999998
GDP,2013/1/1,485409,-1.11,103678.0,77364.0,36995,5.46,-0.94,59669.0,2.27,-5.72,2918.0,4.73,74252.0,0.49,102133,66456.0,-4.37,34585.0,25084.0,-27881.0,2.08
GDP,2013/4/1,488930,3.11,110233.0,79128.0,37314,6.72,3.42,60263.0,2.04,2.2,-2459.0,8.56,74838.0,3.65,106803,66191.0,3.4,35294.0,24969.0,-31965.0,2.0133333330000003
GDP,2013/7/1,493002,3.11,110025.0,79221.0,37409,7.85,4.05,59814.0,3.56,-0.37,-2656.0,6.68,75786.0,1.5,106820,65719.0,2.18,35236.0,24578.0,-31034.0,2.673333333
GDP,2013/10/1,496466,8.57,113380.0,78226.0,37423,9.33,7.08,57749.0,7.07,1.27,-9280.0,4.91,73195.0,0.18,107602,63431.0,0.82,34845.0,22904.0,-34407.0,2.796666667
GDP,2014/1/1,500552,5.35,109229.0,78498.0,39174,3.64,0.22,58684.0,5.89,1.47,-5890.0,-1.65,72009.0,-3.48,102359,64142.0,-3.02,35845.0,22839.0,-30350.0,2.833333333
GDP,2014/4/1,504939,-0.03,110200.0,80805.0,39086,1.95,-3.73,59130.0,4.75,2.12,-4133.0,-1.88,73720.0,-2.64,102819,64446.0,-1.49,35982.0,23148.0,-29099.0,2.74
GDP,2014/7/1,508741,3.19,113532.0,77853.0,40736,5.3,-1.79,61288.0,8.89,-1.73,-9356.0,2.46,70213.0,2.34,104912,67254.0,-7.35,37102.0,24186.0,-34699.0,2.583333333
GDP,2014/10/1,512334,6.18,120391.0,81320.0,43178,11.79,1.84,62053.0,15.38,3.96,-14495.0,7.45,71759.0,7.01,109581,67879.0,-1.96,38954.0,23099.0,-37822.0,2.113333333
GDP,2015/1/1,513850,9.31,119403.0,80708.0,43687,7.83,3.2,62307.0,11.52,2.82,-14180.0,6.17,69666.0,6.48,105634,68296.0,-3.25,38651.0,23656.0,-35968.0,1.706666667
GDP,2015/4/1,516876,4.0,114607.0,84360.0,44383,7.8,-1.93,63037.0,13.55,4.4,-5261.0,6.61,72515.0,7.8,100836,69476.0,-1.63,38787.0,24250.0,-28321.0,1.98
GDP,2015/7/1,518915,1.67,115426.0,81848.0,43499,3.47,-5.57,60718.0,6.78,5.13,-9996.0,-0.93,68486.0,-0.07,99072,67210.0,-2.46,38388.0,22330.0,-30586.0,2.0
GDP,2015/10/1,521920,-1.07,119097.0,83108.0,46024,3.87,-8.11,64987.0,6.59,2.2,-11731.0,4.73,69062.0,3.7,100690,70392.0,-3.76,40462.0,24525.0,-31628.0,1.916666667
GDP,2016/1/1,523813,-0.48,118828.0,82155.0,45915,6.15,-3.43,65935.0,5.1,1.79,-11312.0,5.82,69435.0,4.42,102013,71316.0,-0.33,41027.0,24908.0,-32578.0,1.6066666669999998
GDP,2016/4/1,526750,5.46,120860.0,84801.0,45475,6.99,6.03,67135.0,2.46,0.52,-8589.0,6.5,74015.0,5.04,106913,72979.0,2.07,41499.0,25636.0,-32898.0,1.473333333
GDP,2016/7/1,528712,8.07,124744.0,80886.0,47707,19.76,15.55,69357.0,9.67,-1.18,-19089.0,14.23,74024.0,7.69,114476,72377.0,8.09,45975.0,23382.0,-40452.0,0.84
GDP,2016/10/1,532082,1.81,121254.0,84834.0,47026,13.22,13.45,72839.0,2.18,2.08,-8409.0,12.08,80115.0,6.51,114235,74977.0,16.0,45812.0,27027.0,-34120.0,1.296666667
GDP,2017/1/1,536566,3.07,122475.0,86808.0,46812,10.4,15.24,72986.0,1.95,5.66,-7235.0,10.69,82780.0,5.5,117558,75238.0,19.22,45292.0,27694.0,-34778.0,1.306666667
GDP,2017/4/1,540020,3.86,125522.0,89795.0,49379,15.05,12.7,74115.0,8.58,5.89,-8635.0,10.4,84932.0,4.89,120486,76551.0,14.75,47743.0,26372.0,-35554.0,1.093333333
GDP,2017/7/1,543452,1.36,126444.0,89857.0,50405,6.73,6.22,78865.0,5.66,11.09,-5628.0,13.71,84844.0,12.37,121592,81331.0,14.62,49071.0,29794.0,-36748.0,1.21
GDP,2017/10/1,547377,1.22,122728.0,89423.0,50315,6.88,4.3,75977.0,6.99,5.41,-5626.0,4.31,85024.0,4.13,119147,78075.0,6.13,48964.0,27013.0,-34123.0,1.33
GDP,2018/1/1,547688,0.87,123538.0,89142.0,52605,13.7,1.9,79252.0,12.38,2.69,-5128.0,8.59,84967.0,8.83,119793,81878.0,2.64,51498.0,27754.0,-34826.0,1.5
GDP,2018/4/1,548600,-0.93,124350.0,89436.0,53508,8.64,2.04,80273.0,8.36,-0.4,-6230.0,8.31,87462.0,7.37,122948,82194.0,2.98,51867.0,28406.0,-35486.0,1.476666667
GDP,2018/7/1,550425,-1.15,124993.0,90833.0,53675,7.0,2.94,80881.0,6.49,1.09,-4743.0,2.56,90910.0,2.18,125161,83105.0,7.15,52505.0,28376.0,-34251.0,1.4233333330000002
GDP,2018/10/1,551128,2.67,126007.0,87342.0,58456,16.95,5.61,83055.0,16.18,-2.33,-13178.0,9.32,87065.0,7.5,125837,83929.0,2.4,57264.0,25791.0,-38772.0,1.436666667
GDP,2019/1/1,555141,15.47,142649.0,90331.0,54576,4.33,18.36,79217.0,3.75,1.33,-26908.0,-0.04,89068.0,-2.23,141791,80052.0,4.83,53728.0,25489.0,-52723.0,1.25
GDP,2019/4/1,556932,-0.45,123788.0,83376.0,56208,8.44,0.78,83802.0,5.05,-6.78,-12362.0,4.4,84172.0,2.51,123907,84258.0,-3.76,56246.0,27556.0,-39735.0,1.08
GDP,2019/7/1,560987,-0.07,124907.0,91011.0,56887,9.88,1.5,86773.0,5.98,0.2,-4411.0,7.28,92206.0,3.91,127042,86352.0,1.43,57693.0,29080.0,-34836.0,0.67
GDP,2019/10/1,560861,-4.51,120330.0,98784.0,56457,-1.4,-5.49,86360.0,-3.42,13.1,7533.0,3.98,98056.0,1.86,118934,85490.0,12.62,56461.0,29899.0,-20878.0,0.7466666670000001
GDP,2020/1/1,545597,-19.64,114638.0,82354.0,53046,-3.0,-19.8,87610.0,-2.8,-8.83,-33.0,10.59,81259.0,6.55,113723,85297.0,-8.77,52116.0,35494.0,-32464.0,0.6033333329999999
GDP,2020/4/1,434718,-26.56,90915.0,76387.0,36778,-33.3,-29.44,73429.0,-34.57,-8.38,18833.0,-12.38,71888.0,-16.76,87431,70139.0,-14.59,37517.0,35912.0,-15543.0,0.303333333
GDP,2020/7/1,507643,-11.05,111108.0,75584.0,38825,-33.34,-14.46,72455.0,-31.75,-16.95,-3880.0,-16.5,73879.0,-18.39,108675,70469.0,-19.88,38456.0,33999.0,-34796.0,0.25
GDP,2020/10/1,514531,9.87,132205.0,81941.0,40197,-28.39,10.05,76111.0,-28.8,-17.05,-17523.0,-11.87,80155.0,-14.68,130882,72938.0,-18.26,40429.0,35682.0,-50727.0,0.33666666700000003
GDP,2021/1/1,509261,-0.49,114079.0,73421.0,41132,-20.04,1.25,78361.0,-22.46,-10.85,-6846.0,-10.56,72555.0,-12.14,115147,74944.0,-10.71,41671.0,36690.0,-42592.0,0.6133333329999999
GDP,2021/4/1,546579,28.45,116778.0,82688.0,43178,16.7,35.66,78489.0,17.4,8.25,-2116.0,6.89,83628.0,7.15,118612,75152.0,16.33,43784.0,34705.0,-34984.0,0.87
GDP,2021/7/1,555956,9.39,121545.0,76511.0,45438,20.95,17.0,79430.0,17.03,1.23,-15345.0,9.63,78037.0,6.61,127147,75127.0,5.63,46512.0,32918.0,-49110.0,0.713333333
GDP,2021/10/1,564407,-9.27,119948.0,84128.0,53868,42.44,0.75,94449.0,34.01,2.67,-2741.0,24.09,89335.0,19.21,131863,86947.0,11.45,57587.0,36862.0,-42528.0,0.953333333
GDP,2022/1/1,567396,19.05,135808.0,76923.0,50693,35.52,36.37,90547.0,23.24,4.77,-26752.0,15.55,86466.0,10.52,157031,82826.0,19.17,56473.0,34074.0,-70565.0,1.416666667
GDP,2022/4/1,567889,13.53,132575.0,80987.0,54268,44.13,36.59,98521.0,25.68,-2.06,-18769.0,25.52,97579.0,15.88,162014,87087.0,16.68,63104.0,35417.0,-64435.0,2.043333333
